inspection_id,name,address,results,last_inspection_date,risk,lat,long,yelp_id,yelp_name,yelp_address,yelp_rating,yelp_is_closed,yelp_review_count,yelp_category
114408,Swirl Wine Bar,111 W Hubbard St,Fail,2010-04-15,Risk 1 (High),41.88990443,-87.63159249,swirl-wine-bar-chicago,Swirl Wine Bar,111 W Hubbard St,3.5,True,99,Wine Bars
229373,Starbucks,116 S Halsted St,Pass w/ Conditions,2011-11-15,Risk 2 (Medium),41.87994232,-87.64745274,starbucks-chicago-99,Starbucks,100 S Halsted St,3.5,False,12,Coffee & Tea
124410,Dunkin Donuts / Baskin Robbins,5050 N Cicero Ave,Fail,2011-10-07,Risk 2 (Medium),41.97290824,-87.74806178,dunkin-donuts-baskin-robbins-chicago-17,Dunkin' Donuts Baskin Robbins,5000 W Irving Park Rd,2.5,False,7,Donuts
453278,Ashkenaz Delicatessen,12 E Cedar St,Pass,2011-09-06,Risk 1 (High),41.9024912,-87.62776815,ashkenaz-jewish-style-deli-chicago,Ashkenaz Jewish Style Deli,12 E Cedar St,3.5,False,118,Caterers
1215022,M Kafe,1136 W Thorndale Ave,Fail,2012-05-21,Risk 1 (High),41.9901358,-87.65977098,m-kafe-chicago,M Kafe,1136 W Thorndale Ave,3.5,False,11,Vietnamese
158439,Joe's Breakfast & Lunch,1156 W 51st St,Pass w/ Conditions,2012-03-09,Risk 1 (High),41.80156348,-87.65491674,joes-breakfast-and-lunch-grill-chicago,Joe's Breakfast & Lunch Grill,2325 W Taylor St,4.5,False,4,Food
353215,Grazie Coffee Shop,6700 N Northwest Hwy,Pass,2010-09-07,Risk 2 (Medium),42.00272742,-87.81630052,caffè-rōm-chicago-6,Caffè RōM,Hyatt Center,4.0,False,82,Coffee & Tea
1229603,Dany's Taco's,11529 S Michigan Ave,Fail,2012-06-13,Risk 1 (High),41.68447443,-87.62058684,gt-fish-and-oyster-chicago,GT Fish & Oyster,531 N Wells St,4.0,False,383,Seafood
166295,Taqueria San Jose,3253 S Halsted St,Fail,2011-03-14,Risk 1 (High),41.83471435,-87.64605373,taqueria-san-jose-chicago,Taqueria San Jose,3253 S Halsted St,4.0,False,70,Mexican
537601,Bacardi At The Park,320 W 35th St,Pass,2011-09-28,Risk 1 (High),41.83100809,-87.63493249,bacardi-at-the-park-chicago,Bacardi At the Park,320 W 35th St,5.0,False,4,American (Traditional)
197257,Starbucks,30 N La Salle St,Pass,2011-03-02,Risk 2 (Medium),41.88269467,-87.63253143,starbucks-chicago-96,Starbucks,200 W Madison St,4.5,False,13,Coffee & Tea
413596,McDonald's,1400 S Lake Shore Dr,Pass,2012-04-17,Risk 2 (Medium),41.86403564,-87.61929707,mcdonalds-chicago-83,McDonald's,1201 S Lake Shore Dr,2.5,False,3,Burgers
154483,Boka,1727-1729 N Halsted St,Pass,2010-09-01,Risk 1 (High),41.91360108,-87.64820898,boka-chicago,Boka,1729 N Halsted St,4.0,False,468,American (New)
539467,Kindred Chicago-central Hospital,4058 W Melrose St,Fail,2011-10-19,Risk 1 (High),41.94008298,-87.7295461,fat-willys-rib-shack-chicago,Fat Willy's Rib Shack,2416 W Schubert Ave,4.0,False,640,Barbeque
419677,Dunkin Donuts,10401 S Western Ave,Pass,2011-11-18,Risk 2 (Medium),41.70446536,-87.68141545,dunkin-donuts-chicago-45,Dunkin Donuts,10401 S Western Avenue,3.0,False,2,Restaurants
166355,Pizza Hut,2337 W Cermak Rd,Pass,2011-04-19,Risk 2 (Medium),41.85192842,-87.68472649,pizza-hut-chicago-5,Pizza Hut,2337 W Cermak Road,3.5,False,2,Pizza
284507,Harambee House Banquets & Dusties Buffets,11901 S Loomis St,Fail,2012-05-29,Risk 1 (High),41.67756555,-87.65638237,ras-dashen-ethiopian-restaurant-chicago,Ras Dashen Ethiopian Restaurant,5846 N Broadway St,4.5,False,335,Ethiopian
521459,Isla Pilipina Restaurant,2501 W Lawrence Ave,Pass w/ Conditions,2012-04-12,Risk 1 (High),41.96848269,-87.69140891,isla-pilipina-chicago,Isla Pilipina,2501 W Lawrence Ave,4.0,False,285,Filipino
289315,Uncle Joe's Jerk Chicken,10210 S Vincennes Ave,Pass,2012-05-07,Risk 1 (High),41.70842853,-87.65556642,uncle-joes-chicago,Uncle Joe's,8211 S Cottage Grove Ave,3.0,False,18,Caribbean
234165,Chi's Jac Robins,5755 W 63rd St,Pass,2011-10-04,Risk 2 (Medium),41.77784508,-87.76638144,northwest-tai-chi-academy-chicago,Northwest Tai Chi Academy,3516 W Fullerton Ave,4.0,False,1,Tai Chi
234101,The Original Nicks Gyros,5238 N Nagle Ave,Pass,2011-12-05,Risk 1 (High),41.97671903,-87.78800131,nicks-drive-in-chicago,Nick's Drive-In,7216 N Harlem Ave,3.0,False,17,Fast Food
58487,Hoosier Mama Pie Company,1618 W Chicago Ave,Fail,2011-08-16,Risk 1 (High),41.89616972,-87.66811805,hoosier-mama-pie-company-chicago,Hoosier Mama Pie Company,1618 1/2 Chicago Ave,4.5,False,334,Desserts
197462,Chipotle Mexican Grill,8 E Madison St,Pass w/ Conditions,2010-06-01,Risk 1 (High),41.88217262,-87.62756936,chipotle-mexican-grill-chicago-21,Chipotle Mexican Grill,8 E Madison St,3.5,False,20,Mexican
659439,Dunkin Donuts / Baskin Robbins,4644 W Diversey Ave,Pass w/ Conditions,2012-05-14,Risk 2 (Medium),41.93168044,-87.74372188,dunkin-donuts-baskin-robbins-chicago-6,Dunkin Donuts-Baskin Robbins,5650 W Fullerton Ave,1.0,False,1,Donuts
413416,Lindo Michoacan Restaurant,3148 W Lawrence Ave,Pass,2011-06-07,Risk 1 (High),41.9685703,-87.70802415,lindo-michoacan-restaurant-chicago,Lindo Michoacan Restaurant,3148 W Lawrence Ave,4.0,False,35,Mexican
413317,Green Zebra,1460 W Chicago Ave,Pass w/ Conditions,2010-09-10,Risk 1 (High),41.89622225,-87.66479278,green-zebra-chicago,Green Zebra,1460 W Chicago Ave,4.0,False,622,Vegetarian
521886,La Piramide Restaurant,3645 W Lawrence Ave,Pass w/ Conditions,2011-11-10,Risk 1 (High),41.96821956,-87.72008438,la-piramide-chicago,La Piramide,3645 W Lawrence Ave,4.5,False,4,Mexican
154297,Adobo Grill,1610 N Wells St,Pass,2012-04-17,Risk 1 (High),41.91149437,-87.6348681,adobo-grill-chicago-2,Adobo Grill,1610 N Wells St,3.5,False,413,Latin American
409288,Hotel Allegro,171 W Randolph St,Pass,2011-07-27,Risk 1 (High),41.88436188,-87.63316454,hotel-allegro-chicago,Hotel Allegro,171 W Randolph St,4.0,False,159,Hotels
491447,Ricky's Deli,949 N Western Ave,Pass,2012-01-10,Risk 1 (High),41.89902107,-87.68677928,rickys-deli-chicago,Ricky's Deli,949 N Western Ave,4.0,False,4,Diners
401322,Chipotle Mexican Grill,10 E Jackson Blvd,Pass,2011-11-08,Risk 1 (High),41.87833155,-87.6273239,chipotle-mexican-grill-chicago-31,Chipotle Mexican Grill,14 E Jackson Blvd,3.5,False,55,Tex-Mex
428999,The Beetle Bar & Grill,2532 W Chicago Ave,Fail,2011-04-15,Risk 1 (High),41.89581359,-87.69068394,the-beetle-bar-and-grill-chicago,The Beetle Bar and Grill,2532 W Chicago Ave,3.5,False,55,Lounges
284341,Pockets,4301 N Lincoln Ave,Pass,2012-01-31,Risk 1 (High),41.95967221,-87.68246202,pockets-chicago-4,Pockets,4301 N Lincoln Ave,2.5,False,40,Sandwiches
238237,Lemons Enterprises,311 E 75th St,Pass,2010-03-08,Risk 1 (High),41.75825081,-87.61779767,raw-chicago,Raw,Chicago French Market,4.5,False,85,Vegan
166250,,658 E 75th St,Pass,2010-11-12,Risk 1 (High),41.75864667,-87.60790603,cafe-trinidad-chicago-2,Cafe Trinidad,557 E 75th St,4.0,False,26,Trinidadian
233342,Troha's Chicken & Shrimp,4151 W 26th St,Pass,2012-03-16,Risk 1 (High),41.84408262,-87.72898371,trohas-shrimp-and-fish-house-chicago,Troha's Shrimp & Fish House,4151 W 26th St,4.5,False,29,Seafood
250471,Taco Zone,5536 N Elston Ave,Pass,2010-06-02,Risk 1 (High),41.98185048,-87.76272679,taco-zone-chicago-2,Taco Zone,5536 N. Elston,3.5,False,2,Food
112330,Tamarind,614 S Wabash Ave,Pass,2011-05-11,Risk 1 (High),41.87406368,-87.62613531,tamarind-chicago,Tamarind,614 S Wabash Ave,3.5,False,261,Sushi Bars
67925,Quizno's Sub,3933 N Broadway St,Pass w/ Conditions,2010-01-19,Risk 1 (High),41.95377883,-87.64985956,quiznos-subs-chicago-7,Quizno's Sub's,180 N Stetson Ave,3.0,True,2,Sandwiches
517563,Potbelly,565 W Diversey Pkwy,Pass,2011-10-07,Risk 2 (Medium),41.93271736,-87.6435639,potbelly-sandwich-works-chicago-31,Potbelly Sandwich Works,565 W Diversey Pkwy,3.5,False,14,Sandwiches
58535,Papa Ray's Pizza & Wings,2551 W Fullerton Ave,Pass,2012-03-14,Risk 1 (High),41.92475132,-87.69180095,papa-rays-pizza-and-wings-chicago,Papa Rays Pizza & Wings,3208 N Pulaski Rd,3.5,False,16,Pizza
453235,Lucky Strike Lanes,322 E Illinois St,Fail,2011-11-03,Risk 1 (High),41.89113317,-87.61916021,lucky-strike-lanes-and-lounge-chicago-2,Lucky Strike Lanes & Lounge,322 E Illinois St,2.5,False,247,Bowling
565606,Bombon Cake Gallery,500 W Madison St,Pass,2011-11-10,Risk 2 (Medium),41.88199434,-87.63975868,bombon-cake-gallery-chicago,BomBon Cake Gallery,500 W Madison,3.0,False,1,Bakeries
58427,Salud Tequila Lounge,1471 N Milwaukee Ave,Pass,2012-04-26,Risk 1 (High),41.90872609,-87.67466084,salud-tequila-lounge-chicago,Salud Tequila Lounge,1471 N Milwaukee Ave,3.5,False,252,Mexican
567547,Dunkin Donuts,203 N La Salle St,Pass,2011-08-08,Risk 2 (Medium),41.88582205,-87.63230374,dunkin-donuts-chicago-17,Dunkin' Donuts,205 W Randolph St,4.0,False,3,Restaurants
